,cloak_of_opportunity
self_abrams,
self_apollo,
self_bebop,
self_billy,
self_calico,
self_celeste,
self_the_doorman,
self_drifter,
self_dynamo,
self_graves,
self_grey_talon,
self_haze,
self_holliday,
self_infernus,
self_ivy,
self_kelvin,
self_lady_geist,
self_lash,
self_mcginnis,
self_mina,
self_mirage,
self_mo_and_krill,
self_paige,
self_paradox,
self_pocket,
self_rem,
self_seven,
self_shiv,
self_silver,
self_sinclair,
self_venator,
self_victor,
self_vindicta,
self_viscous,
self_vyper,
self_warden,
self_wraith,
self_yamato,
ally_abrams,
ally_apollo,
ally_bebop,
ally_billy,
ally_calico,
ally_celeste,
ally_the_doorman,
ally_drifter,
ally_dynamo,
ally_graves,
ally_grey_talon,
ally_haze,
ally_holliday,
ally_infernus,
ally_ivy,
ally_kelvin,
ally_lady_geist,
ally_lash,
ally_mcginnis,
ally_mina,
ally_mirage,
ally_mo_and_krill,
ally_paige,
ally_paradox,
ally_pocket,
ally_rem,
ally_seven,
ally_shiv,
ally_silver,
ally_sinclair,
ally_venator,
ally_victor,
ally_vindicta,
ally_viscous,
ally_vyper,
ally_warden,
ally_wraith,
ally_yamato,
enemy_abrams,
enemy_apollo,
enemy_bebop,
enemy_billy,
enemy_calico,
enemy_celeste,
enemy_the_doorman,
enemy_drifter,
enemy_dynamo,
enemy_graves,
enemy_grey_talon,
enemy_haze,
enemy_holliday,
enemy_infernus,
enemy_ivy,
enemy_kelvin,
enemy_lady_geist,
enemy_lash,
enemy_mcginnis,
enemy_mina,
enemy_mirage,
enemy_mo_and_krill,
enemy_paige,
enemy_paradox,
enemy_pocket,
enemy_rem,
enemy_seven,
enemy_shiv,
enemy_silver,
enemy_sinclair,
enemy_venator,
enemy_victor,
enemy_vindicta,
enemy_viscous,
enemy_vyper,
enemy_warden,
enemy_wraith,
enemy_yamato,
